2018-05-15 00:21:53    d        the akaenv is:PROD
2018-05-15 00:21:53    d        the action is:BRC_DELIVERY_EAP_AKA_TOKEN
2018-05-15 00:21:53    d        the action in MyBroadcastReceiver:BRC_DELIVERY_EAP_AKA_TOKEN
2018-05-15 00:21:53    d        in EPAKAAuthNFirstCall .....
2018-05-15 00:21:53    d        start to send EPAKAAuthNFirstCall....
2018-05-15 00:21:53    d        connect to :https://sentitlement2.mobile.att.net/WFC
2018-05-15 00:21:53    d        request data is:[{"os-type":0,"device-id":"MzU1OTg2MDg0OTUyNzYy","method":"3gppAuthentication","message-id":1,"device-name":"samsung","device-type":0,"imsi-eap":"0310410492527132@nai.epc.mnc410.mcc310.3gppnetwork.org"}]
2018-05-15 00:21:53    d        ok,let`s use gzip...
2018-05-15 00:21:53    d        https connect to : https://sentitlement2.mobile.att.net/WFC
2018-05-15 00:24:01    d        here is the response from EPAKAAuthNFirstCall:{"errorcode":"Connection to https:\/\/sentitlement2.mobile.att.net refused"}
2018-05-15 00:24:01    d        delivery error_msg:{"errorcode":"Connection to https:\/\/sentitlement2.mobile.att.net refused"}
2018-05-15 00:24:01    d        Connection to https://sentitlement2.mobile.att.net refused
2018-05-15 22:10:15    d    LocalApplication    initializers:[com.android.sony.tv.app.LocalApplication$2@141fd62]
2018-05-15 22:10:15    d    LocalApplication    invoking initializer:com.android.sony.tv.app.LocalApplication$2@141fd62
2018-05-15 22:10:15    d    LocalApplication    initializers length:1
2018-05-15 22:10:15    d    LocalApplication    scanners:[]
2018-05-15 22:10:15    d    LocalApplication    invoking initializer:com.android.sony.tv.app.LocalApplication$2@141fd62 done!
2018-05-15 22:10:16    d    MainActivity    the selected is :2131427418
2018-05-15 22:10:16    d    BatteryStatusListener    isCharging :true,usbCharge:true,acCharge:false,batteryPct:1.0
2018-05-15 22:10:16    d    HomeOneFragment    HomeOneFragment is onResume...
2018-05-15 22:10:16    e    LocalFileHandler    Attempt to invoke virtual method 'void android.view.View.setBackgroundResource(int)' on a null object reference
2018-05-15 22:19:05    d    LocalApplication    initializers:[com.android.sony.tv.app.LocalApplication$2@141fd62]
2018-05-15 22:19:05    d    LocalApplication    initializers length:1
2018-05-15 22:19:05    d    LocalApplication    invoking initializer:com.android.sony.tv.app.LocalApplication$2@141fd62
2018-05-15 22:19:05    d    LocalApplication    invoking initializer:com.android.sony.tv.app.LocalApplication$2@141fd62 done!
2018-05-15 22:19:05    d    LocalApplication    scanners:[]
2018-05-15 22:19:05    d    MainActivity    the selected is :2131427418
2018-05-15 22:19:05    d    BatteryStatusListener    isCharging :true,usbCharge:true,acCharge:false,batteryPct:1.0
2018-05-15 22:19:05    d    HomeOneFragment    HomeOneFragment is onResume...
2018-05-15 22:19:05    e    LocalFileHandler    Attempt to invoke virtual method 'void android.view.View.setBackgroundResource(int)' on a null object reference
